periodo,anio,mes,idareapermisoconcesion,areapermisoconcesion,prod_pet_m3,prod_gas_km3,wells_with_oil,well_count,company_count,tef_sum
2025-12-01,2025,12,RIAT,RIO ATUEL,0.0,0.0,0,1,1,0.0
2025-12-01,2025,12,PYII,PAMPA DE LAS YEGUAS II,0.0,0.0,0,1,1,0.0
2025-12-01,2025,12,GRU,EL MANGRULLO,0.0,106394.09890000001,0,18,1,460.763912
2025-12-01,2025,12,PAYO,PAYUN OESTE,0.0,0.0,0,1,1,0.0
2025-12-01,2025,12,BNDN,BANDURRIA NORTE,0.0,0.0,0,5,1,0.0
2025-12-01,2025,12,LOAS,LOMA AMARILLA SUR,0.0,0.0,0,5,1,0.0
2025-12-01,2025,12,LRII,LA RIBERA BLOQUE II  ,0.0,0.0,0,1,1,0.0
2025-12-01,2025,12,HUA,EL TRAPIAL - CURAMCHED,0.0,0.0,0,1,1,0.0
2025-12-01,2025,12,NRBN,NARAMBUENA,0.0,0.0,0,9,1,0.0
2025-12-01,2025,12,COSU,CORRALERA SUR,0.0,0.0,0,1,1,0.0
2025-12-01,2025,12,CLMI,CERRO LAS MINAS ,0.0,0.0,0,1,1,0.0
2025-12-01,2025,12,LT2O,LOS TOLDOS II OESTE,0.0,0.0,0,4,1,0.0
